age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,profit
28, Private,350254,2, Never-married, Priv-house-serv, Not-in-family, White, Female,0,0,40, Mexico, <=50K
42, Private,119359,15, Married-civ-spouse, Sales, Wife, Amer-Indian-Eskimo, Female,15024,0,40, South, >50K
31, Local-gov,128016,13, Never-married, Sales, Own-child, White, Female,0,0,40, United-States, <=50K
21, Private,118712,9, Never-married, Craft-repair, Unmarried, White, Male,0,0,35, United-States, <=50K
69, Private,114801,9, Married-civ-spouse, Other-service, Husband, White, Male,0,0,20, United-States, <=50K
30, Private,342730,9, Never-married, Prof-specialty, Not-in-family, White, Male,0,0,35, United-States, <=50K
37, Federal-gov,197284,10, Never-married, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
23, Self-emp-not-inc,208503,10, Divorced, Adm-clerical, Own-child, White, Male,0,0,40, United-States, <=50K
57, Private,334224,10, Married-civ-spouse, Craft-repair, Wife, White, Female,9386,0,40, United-States, >50K
43, Private,218309,13, Divorced, Sales, Not-in-family, White, Female,0,0,50, United-States, <=50K
31, Private,61559,9, Never-married, Other-service, Not-in-family, White, Male,0,0,50, United-States, <=50K
42, State-gov,190044,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,15024,0,50, United-States, >50K
49, Private,155489,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,50, United-States, >50K
21, Private,179720,9, Never-married, Other-service, Other-relative, White, Female,0,0,30, United-States, <=50K
52, Private,167527,7, Widowed, Other-service, Unmarried, Black, Female,0,0,40, United-States, <=50K
18,,151463,7, Never-married,, Other-relative, White, Male,0,0,7, United-States, <=50K
27, Private,130492,7, Divorced, Craft-repair, Unmarried, Other, Male,0,0,35, United-States, <=50K
22, Private,140001,13, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,40, United-States, <=50K
35, Private,174856,9, Married-civ-spouse, Transport-moving, Husband, White, Male,2885,0,40, United-States, <=50K
27, Private,135001,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
23, Private,71864,10, Never-married, Exec-managerial, Not-in-family, White, Female,0,0,35, United-States, <=50K
24, Private,103277,11, Never-married, Prof-specialty, Own-child, White, Female,0,0,40, United-States, <=50K
54, Local-gov,256923,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,0,0,40, United-States, >50K
25, Private,213799,11, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,35, United-States, <=50K
39, Private,159168,11, Widowed, Exec-managerial, Unmarried, White, Female,0,3004,40, United-States, >50K
29, State-gov,73928,13, Never-married, Prof-specialty, Own-child, Asian-Pac-Islander, Female,0,0,15, United-States, <=50K
79, Private,121552,4, Widowed, Other-service, Unmarried, Black, Male,0,0,5, United-States, <=50K
57,,123632,13, Never-married,, Not-in-family, Black, Female,0,0,35, United-States, <=50K
27, Private,211570,7, Never-married, Handlers-cleaners, Other-relative, Black, Male,0,0,40, United-States, <=50K
35, Private,169037,9, Married-civ-spouse, Transport-moving, Wife, White, Female,0,0,48, United-States, <=50K
66, Private,134130,13, Widowed, Other-service, Not-in-family, White, Male,0,0,12, United-States, <=50K
33, Federal-gov,137814,9, Never-married, Other-service, Not-in-family, White, Male,0,0,32, United-States, <=50K
41, Local-gov,107327,11, Divorced, Prof-specialty, Unmarried, White, Female,0,0,40, United-States, <=50K
23, Local-gov,197918,10, Never-married, Protective-serv, Own-child, White, Male,0,0,40, United-States, >50K
34, Self-emp-not-inc,190290,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, >50K
35, Private,183279,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
20, Private,436253,10, Never-married, Other-service, Own-child, White, Male,0,0,35, United-States, <=50K
41, Private,95047,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,7688,0,44, United-States, >50K
27, Private,377680,11, Never-married, Sales, Not-in-family, White, Male,0,0,50, United-States, <=50K
37, Private,166497,9, Never-married, Adm-clerical, Own-child, White, Male,0,0,38, United-States, <=50K
48, Private,348144,10, Divorced, Transport-moving, Not-in-family, White, Male,3325,0,53, United-States, <=50K
