param value;accuracy;param
0.03;0.827;learning_rate
0.06;0.81;learning_rate
0.09;0.81;learning_rate
0.12;0.803;learning_rate
0.15;0.804;learning_rate
0.18;0.797;learning_rate
0.21;0.816;learning_rate
0.24;0.798;learning_rate
0.27;0.81;learning_rate
0.3;0.782;learning_rate
0.03;0.815;learning_rate
0.06;0.814;learning_rate
0.09;0.805;learning_rate
0.12;0.817;learning_rate
0.15;0.799;learning_rate
0.18;0.809;learning_rate
0.21;0.805;learning_rate
0.24;0.796;learning_rate
0.27;0.799;learning_rate
0.3;0.797;learning_rate
0.03;0.826;learning_rate
0.06;0.816;learning_rate
0.09;0.816;learning_rate
0.12;0.81;learning_rate
0.15;0.813;learning_rate
0.18;0.811;learning_rate
0.21;0.796;learning_rate
0.24;0.801;learning_rate
0.27;0.799;learning_rate
0.3;0.805;learning_rate
0.03;0.822;learning_rate
0.06;0.81;learning_rate
0.09;0.809;learning_rate
0.12;0.81;learning_rate
0.15;0.801;learning_rate
0.18;0.803;learning_rate
0.21;0.794;learning_rate
0.24;0.81;learning_rate
0.27;0.786;learning_rate
0.3;0.8;learning_rate
0.03;0.828;learning_rate
0.06;0.815;learning_rate
0.09;0.813;learning_rate
0.12;0.803;learning_rate
0.15;0.814;learning_rate
0.18;0.811;learning_rate
0.21;0.797;learning_rate
0.24;0.812;learning_rate
0.27;0.798;learning_rate
0.3;0.799;learning_rate
0.03;0.842;learning_rate
0.06;0.837;learning_rate
0.09;0.827;learning_rate
0.12;0.824;learning_rate
0.15;0.816;learning_rate
0.18;0.803;learning_rate
0.21;0.814;learning_rate
0.24;0.801;learning_rate
0.27;0.801;learning_rate
0.3;0.806;learning_rate
0.03;0.821;learning_rate
0.06;0.805;learning_rate
0.09;0.803;learning_rate
0.12;0.798;learning_rate
0.15;0.789;learning_rate
0.18;0.789;learning_rate
0.21;0.815;learning_rate
0.24;0.796;learning_rate
0.27;0.805;learning_rate
0.3;0.787;learning_rate
0.03;0.826;learning_rate
0.06;0.827;learning_rate
0.09;0.815;learning_rate
0.12;0.817;learning_rate
0.15;0.8;learning_rate
0.18;0.798;learning_rate
0.21;0.799;learning_rate
